id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
123674#13979277;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;871422850016664.0;8.0124;117.0594;681477.4273;1641838037;41640.72;3048.7342;834337.5645;692418.1661;690523.2894;0.255;3.5041;10083.4864;-10940.7388;-1894.8767;9218033.797;-0.0131;-0.0161;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0539;0.1323;0.8276;-0.0127;-0.0816;-0.0167;0.0148;21024.2252;5.534;0.1807;31.3378;0.0319
123674#14297620;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;148141884502833.0;1.1971;22.2501;116110.8743;1646090929;43186.2425;2916.7506;148421.7711;116642.6888;116597.5072;0.3451;5.1817;29363.8937;-531.8144;-45.1815;12407808.0;-0.0036;-0.0046;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0116;0.0225;0.7856;-0.0206;-0.0816;-0.0167;0.2529;29895.7081;5.534;0.1807;31.3378;0.0319
123674#14450010;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;478992093225826.0;4.1892;67.329;393285.8364;1648138542;43884.2573;3105.0329;481859.4434;394232.0141;392897.8836;0.11;1.4882;8509.3008;-946.1777;-1334.1305;14232113.2719;-0.002;-0.0024;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0053;0.0764;0.8154;-0.0147;-0.0816;-0.0167;0.0216;9455.4785;5.534;0.1807;31.3378;0.0319
123674#14623402;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;129327865170973.0;1.2193;16.9634;102582.4407;1650477799;40929.5653;3047.1273;130797.8511;102617.7885;101596.9161;0.0804;0.9661;6261.4693;-35.3478;-1020.8724;16278118.0;-0.0003;-0.0003;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0007;0.0199;0.7767;-0.0225;-0.0816;-0.0167;0.061;6296.8171;5.534;0.1807;31.3378;0.0319
123674#14673734;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;167264038954458.0;1.5396;22.4457;125008.6574;1651161114;39451.3292;2890.5411;169150.0573;126647.1521;125619.9824;0.0178;0.2788;-137.2178;-1638.4947;-1027.1697;16959651.6088;-0.0097;-0.0131;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0243;0.0243;0.7427;-0.0312;-0.0816;-0.0167;-0.0011;1501.2769;5.534;0.1807;31.3378;0.0319
123674#14715286;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;521863801537911.0;4.8837;68.9439;397170.4701;1651726820;39611.1925;2935.2455;578387.8035;400355.6187;395814.9604;0.0146;0.1735;-2094.8122;-3185.1486;-4540.6583;17148895.9146;-0.0055;-0.008;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0147;0.0771;0.6843;-0.0504;-0.0816;-0.0167;-0.0053;1090.3363;5.534;0.1807;31.3378;0.0319
123674#14763725;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1222365596679185.0;9.8445;184.0886;627616.3089;1652394728;28540.1376;1915.0523;1385111.5516;634606.7367;633503.9012;0.0472;0.8497;-4043.7859;-6990.4278;-1102.8355;17430640.2922;-0.005;-0.0111;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0201;0.1219;0.4574;-0.2044;-0.0816;-0.0167;-0.0064;2946.6419;5.534;0.1807;31.3378;0.0319
123674#14782418;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;681032261006974.0;5.6869;99.5897;387249.4404;1652651107;30950.0917;2126.7886;758184.9991;387818.5358;387815.1688;0.0098;0.1128;-27.776;-569.0954;-3.3669;17357751.0;-0.0008;-0.0015;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0027;0.0752;0.5115;-0.1526;-0.0816;-0.0167;-0.0001;541.3194;5.534;0.1807;31.3378;0.0319
123674#14794969;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;286033549622929.0;2.3555;42.31;159165.2651;1652824131;30549.0179;2083.8168;318437.6996;160124.2458;160124.0294;0.0031;0.0541;-751.8323;-958.9807;-0.2164;17530775.0;-0.003;-0.006;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0108;0.0309;0.5028;-0.1601;-0.0816;-0.0167;-0.0047;207.1484;5.534;0.1807;31.3378;0.0319
123674#14845963;0x0b688a65a06167ba27cd73d6848d54f5bd8facd4;0xcbcdf9626bc03e24f779434178a73a0b4bad62ed;5263275.9045;7272327.9288;5149139.8252;123674;0;60.3339687;1003.786692874259618228;0x2260fac5e5542a773aa44fbcfedf7c193bc2c599;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;1303041726060012.0;10.0352;203.1677;692860.5328;1653539390;29717.8268;1940.222;1395575.4687;696804.7787;692413.9841;0.0037;0.0858;-3668.8623;-3944.246;-4390.7947;16088902.5552;-0.0028;-0.0057;-2009052.0243;-0.2763;-32349.1269;-0.0044;-0.0111;0.1346;0.4961;-0.1661;-0.0816;-0.0167;-0.0053;275.3837;5.534;0.1807;31.3378;0.0319
