id;owner;pool_id;position_amountCollectedUSD;position_amountDepositedUSD;position_amountWithdrawnUSD;position_id;position_liquidity;position_withdrawnToken0;position_withdrawnToken1;position_token0.id;position_token1.id;event_amount;event_amount0;event_amount1;event_amountUSD;event_timestamp;price_0;price_1;initialValue;HODLValue;finalValue;event_fees0;event_fees1;lossVersusHODLFees;lossVersusHODLExact;lossVersusHODLEst;weightedDurationSeconds;IL_initial;IL_final;absolute_return;relative_return;IL_total_abs;IL_total_rel;IL_annualized;relativeBurnSize;priceQuotient;IL_formula;IL_formula_total;IL_annualized_total;IL_fees;event_feesUSD;price0_lower;price1_lower;price0_upper;price1_upper
246568#14867834;0x8da0e51c050f6f44d72eb4f8581f1e197ea375da;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;66206.7084;66213.6778;66206.7084;246568;0;28353.690071;20.999999999778393822;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;5.238484899218399e+16;28353.6901;21.0;66206.7084;1653846472;1.0;1799.0168;66213.6787;66133.0429;66133.0429;0.0;0.0;73.6655;73.6655;-0.0;3273.0;0.0011;0.0011;-6.9694;-0.0001;73.6655;0.0011;45344.912;1.0;0.9988;-0.0;-0.0;45344.912;0.0011;0.0;0.0005;1866.8841;0.0006;1758.1705
246958#14878938;0x27e40242749af66d18d7d4e41f37f4afa094c1ec;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;3374.1793;3327.3914;3371.5273;246958;0;1530.960874;0.934780083708802625;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;214612810483958.0;1530.9609;0.9348;3371.5273;1654003472;1.0;1941.0678;3327.3915;3345.6059;3345.4324;1.9651;0.0003;28.5734;25.9214;-0.1735;67335.0;0.0078;0.0077;46.7878;0.0141;25.9214;0.0078;35.2151;1.0;1.0054;-0.0;-0.0;35.2151;0.0085;2.6519;0.0003;3016.9512;0.0007;1383.0425
247396#15101821;0xaffd962dc623e65d01dd2f8e1ffb672e7e3fe968;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1207238.3859;1902313.1208;1194624.7165;247396;0;0;976.393515578636603332;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;5.892427164299089e+16;0.0;976.3935;1194624.7165;1657282229;1.0;1208.0154;1902313.1652;1216799.6372;1179498.4033;7486.9619;4.1902;-9561.2513;-22174.9207;-37301.2339;3244238.0;-0.0117;-0.0186;-695074.7349;-0.3654;-22174.9207;-0.0117;-0.1666;1.0;0.62;-0.0615;-0.0615;-0.1666;-0.008;12613.6694;0.0;20169.101;0.0006;1793.6861
247788#14888998;0x314e53185a76d275bb743c8b88a010a990773f5c;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;0.0001;0.0001;0.0001;247788;0;0.000099;0.000000017719105455;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;10718948.0;0.0001;0.0;0.0001;1654145175;1.0;1810.3465;0.0001;0.0001;0.0001;0.0;0.0;-0.0;-0.0;-0.0;984.0;-0.0076;-0.0076;-0.0;-0.007;-0.0;-0.0076;-1.0;1.0;0.9924;-0.0;-0.0;-1.0;-0.0076;0.0;0.0005;2104.8933;0.0009;1109.9298
247895#14898464;0x09692df3425901eff74b3db470c0a72c2418d8df;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;15.633;15.9618;15.6228;247895;0;7.487761;0.004645825727818795;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;640024540847.0;7.4878;0.0046;15.6228;1654278421;1.0;1751.0139;15.9569;15.6323;15.6227;0.0026;0.0;0.0008;-0.0095;-0.0096;119489.0;-0.0006;-0.0006;-0.3287;-0.0206;-0.0095;-0.0006;-0.1486;1.0;0.9791;-0.0002;-0.0002;-0.1486;0.0;0.0103;0.0003;3611.9138;0.0011;908.7427
248153#14896097;0x7dabbed7360b0c921df854c8f9fc8d8173082096;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;87.0979;87.0979;87.0979;248153;0;29.999999;0.031464774385973462;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;6787326279388.0;30.0;0.0315;87.0979;1654244926;1.0;1803.0147;86.7315;86.7315;86.7314;0.0;0.0;0.3665;0.3665;-0.0;1116.0;0.0042;0.0042;-0.0;-0.0;0.3665;0.0042;3.677625531179491e+51;1.0;1.0;0.0;0.0;3.677625531179491e+51;0.0042;0.0;0.0004;2841.2661;0.0007;1468.5606
248345#14921076;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1555008.0855;1561127.7153;1536381.9184;248345;0;0;885.118682400096392069;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;9.17049316093718e+16;0.0;449.3489;786338.6559;1654608724;1.0;1762.9214;790454.2012;792173.3686;792166.8104;9932.9263;4.7096;12536.1588;-5834.7126;-6.5582;318758.9193;-0.0074;-0.0074;-6119.6298;-0.0039;10876.4106;0.007;-0.5216;0.5118;1.0022;-0.0;-0.0016;9390324034891614.0;0.0159;18370.8714;0.0004;2785.0081;0.0006;1758.1705
248345#14939394;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1555008.0855;1561127.7153;1536381.9184;248345;0;0;885.118682400096392069;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;8.893364642646144e+16;0.0;435.7698;750043.2625;1654877646;1.0;1679.7888;771580.1024;733332.1393;732001.1822;0.0;0.1483;16966.4189;16711.1232;-1330.9571;18546.0;0.0217;0.0223;-6119.6298;-0.0039;10876.4106;0.007;1.9235055865346172e+16;0.4882;0.9487;-0.0032;-0.0016;9390324034891614.0;0.0226;255.2957;0.0004;2785.0081;0.0006;1758.1705
248345#14921076;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1555008.0855;1561127.7153;1536381.9184;248345;0;0;885.118682400096392069;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;9.17049316093718e+16;0.0;449.3489;786338.6559;1654608724;1.0;1762.9214;790454.2012;792173.3686;792166.8104;9932.9263;4.7096;12536.1588;-5834.7126;-6.5582;318758.9193;-0.0074;-0.0074;-6119.6298;-0.0039;10876.4106;0.007;-0.5216;0.5118;1.0022;-0.0;-0.0016;9390324034891614.0;0.0159;18370.8714;0.0004;2785.0081;0.0006;1758.1705
248345#14939394;0x6d707f73f621722fec0e6a260f43f24ccc8d4997;0x7bea39867e4169dbe237d55c8242a8f2fcdcc387;1555008.0855;1561127.7153;1536381.9184;248345;0;0;885.118682400096392069;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;8.893364642646144e+16;0.0;435.7698;750043.2625;1654877646;1.0;1679.7888;771580.1024;733332.1393;732001.1822;0.0;0.1483;16966.4189;16711.1232;-1330.9571;18546.0;0.0217;0.0223;-6119.6298;-0.0039;10876.4106;0.007;1.9235055865346172e+16;0.4882;0.9487;-0.0032;-0.0016;9390324034891614.0;0.0226;255.2957;0.0004;2785.0081;0.0006;1758.1705
